Document Number,Number of Bi-Grams
1,3346.0
2,2181.0
3,1479.0
4,1499.0
5,903.0
6,2090.0
7,1184.0
8,1177.0
9,1391.0
10,1225.0
11,989.0
12,1403.0
13,1065.0
14,1636.0
15,2393.0
16,1366.0
17,1375.0
18,1464.0
19,1312.0
20,1417.0
21,1235.0
