Document Number,Number of Uni-Grams
1,3347.0
2,2182.0
3,1480.0
4,1500.0
5,904.0
6,2091.0
7,1185.0
8,1178.0
9,1392.0
10,1226.0
11,990.0
12,1404.0
13,1066.0
14,1637.0
15,2394.0
16,1367.0
17,1376.0
18,1465.0
19,1313.0
20,1418.0
21,1236.0
