Document Number,Number of Tri-Grams
1,3345.0
2,2180.0
3,1478.0
4,1498.0
5,902.0
6,2089.0
7,1183.0
8,1176.0
9,1390.0
10,1224.0
11,988.0
12,1402.0
13,1064.0
14,1635.0
15,2392.0
16,1365.0
17,1374.0
18,1463.0
19,1311.0
20,1416.0
21,1234.0
